ID,Book_Title,Rating,num_rating
1,The Circle,really liked it,43
1,The Anubis Gates,really liked it,43
1,Stranger in a Strange Land,it was amazing,43
1,Dune,it was amazing,43
1,Dark Matter,liked it,43
1,Dark Matter,liked it,43
1,Reamde,it was amazing,43
1,Fahrenheit 451,it was amazing,43
1,Artemis,liked it,43
1,Starship Troopers,really liked it,43
1,"The Hobbit, or There and Back Again",it was amazing,43
1,Sphere,it was ok,43
1,Cryptonomicon,it was amazing,43
1,Stardust,it was amazing,43
1,Snow Crash,really liked it,43
1,Interface,it was ok,43
1,The Handmaid's Tale,really liked it,43
1,New York 2140,really liked it,43
1,Station Eleven,it was amazing,43
1,Next,liked it,43
1,Aurora,really liked it,43
1,Aurora,really liked it,43
1,Catch-22,really liked it,43
1,1984,it was amazing,43
1,The Truce at Bakura,liked it,43
1,Rising Sun,liked it,43
1,Year Zero,really liked it,43
1,Year Zero,really liked it,43
1,The Underground Railroad,really liked it,43
1,The Little Prince,it was amazing,43
1,Alif the Unseen,liked it,43
1,Lord of the Flies,it was amazing,43
1,The List,really liked it,43
1,The Crystal Star,liked it,43
1,The Martian,it was amazing,43
1,The Alchemist,it was amazing,43
1,Cloud Atlas,really liked it,43
1,A Brief History of Time,really liked it,43
1,Seveneves,it was amazing,43
1,The Courtship of Princess Leia,liked it,43
1,Digital Fortress,it was ok,43
1,The Da Vinci Code,really liked it,43
1,The Sixth Extinction: An Unnatural History,liked it,43
2,The Time Traveler's Wife,it was amazing,3
2,Fight Club,it was amazing,3
2,A Clockwork Orange,it was amazing,3
3,The Martian,it was amazing,2
3,The Little Prince,it was amazing,2
5,The Alchemist,it was amazing,18
5,The Martian Chronicles,it was amazing,18
5,Things Fall Apart,liked it,18
5,Cloud Atlas,it was amazing,18
5,The Mists of Avalon,really liked it,18
5,Flowers for Algernon,really liked it,18
5,Firestarter,liked it,18
5,Firestarter,liked it,18
5,The Time Traveler's Wife,liked it,18
5,Gulliver's Travels,it was amazing,18
5,The Little Prince,it was amazing,18
5,Freedom,liked it,18
5,Freedom,liked it,18
5,The Prince,really liked it,18
5,The Prince,really liked it,18
5,The Handmaid's Tale,it was amazing,18
5,The Phantom Tollbooth,really liked it,18
5,A Connecticut Yankee in King Arthur's Court,it was amazing,18
8,The Road,liked it,10
8,Atlas Shrugged,liked it,10
8,Reamde,liked it,10
8,The Little Prince,it was amazing,10
8,The Martian,it was amazing,10
8,Fahrenheit 451,liked it,10
8,Foucault's Pendulum,it was ok,10
8,Flowers for Algernon,liked it,10
8,The Alchemist,it was amazing,10
8,Station Eleven,it was amazing,10
9,1984,it was amazing,8
9,Animal Farm,it was amazing,8
9,"The Hobbit, or There and Back Again",liked it,8
9,Super Sad True Love Story,it was amazing,8
9,Infinite Jest,it was ok,8
9,Ready Player One,really liked it,8
9,Brave New World,it was amazing,8
9,Snow Crash,it was amazing,8
12,Animal Farm,really liked it,4
12,Cobra,it was amazing,4
12,Brave New World,really liked it,4
12,Slaughterhouse-Five,liked it,4
14,The Alchemist,really liked it,11
14,It,it was amazing,11
14,The Da Vinci Code,it was ok,11
14,Catch-22,it was amazing,11
14,The Phantom Tollbooth,really liked it,11
14,The Time Machine,it was amazing,11
14,Watership Down,it was amazing,11
14,Fahrenheit 451,really liked it,11
14,The Invisible Man,liked it,11
14,Blindness,really liked it,11
14,The War of the Worlds,really liked it,11
15,The Road,liked it,7
15,Animal Farm,really liked it,7
15,Slaughterhouse-Five,really liked it,7
15,Brave New World,really liked it,7
15,1984,it was amazing,7
15,The World Without Us,really liked it,7
15,Catch-22,it was amazing,7
18,Sphere,it was amazing,13
18,Neuromancer,it was amazing,13
18,Next,liked it,13
18,Prey,liked it,13
18,Prey,liked it,13
18,Prey,liked it,13
18,Timeline,liked it,13
