ID,Book,Rating,num_rating
1,"The Circle, Dave Eggers",really liked it,43
1,"The Anubis Gates, Tim Powers",really liked it,43
1,"Stranger in a Strange Land, Robert A. Heinlein",it was amazing,43
1,"Dune, Frank Herbert",it was amazing,43
1,"Dark Matter, Ian Douglas",liked it,43
1,"Dark Matter, Ian Douglas",liked it,43
1,"Reamde, Neal Stephenson",it was amazing,43
1,"Fahrenheit 451, Ray Bradbury",it was amazing,43
1,"Artemis, Andy Weir",liked it,43
1,"Starship Troopers, Robert A. Heinlein",really liked it,43
1,"The Hobbit, or There and Back Again, J.R.R. Tolkien",it was amazing,43
1,"Cryptonomicon, Neal Stephenson",it was amazing,43
1,"Stardust, Neil Gaiman",it was amazing,43
1,"Snow Crash, Neal Stephenson",really liked it,43
1,"The Handmaid's Tale, Margaret Atwood",really liked it,43
1,"New York 2140, Kim Stanley Robinson",really liked it,43
1,"Station Eleven, Emily St. John Mandel",it was amazing,43
1,"Next, Michael Crichton",liked it,43
1,"Aurora, Mark W. Tiedemann",really liked it,43
1,"Aurora, Mark W. Tiedemann",really liked it,43
1,"Catch-22, Joseph Heller",really liked it,43
1,"1984, George Orwell",it was amazing,43
1,"The Truce at Bakura, Kathy Tyers",liked it,43
1,"Rising Sun, Robert Conroy",liked it,43
1,"Year Zero, Rob  Reid",really liked it,43
1,"Year Zero, Rob  Reid",really liked it,43
1,"The Underground Railroad, Colson Whitehead",really liked it,43
1,"The Little Prince, Antoine de Saint-Exupéry",it was amazing,43
1,"Alif the Unseen, G. Willow Wilson",liked it,43
1,"Lord of the Flies, William Golding",it was amazing,43
1,"The List, Patricia Forde",really liked it,43
1,"The Crystal Star, Vonda N. McIntyre",liked it,43
1,"The Martian, Andy Weir",it was amazing,43
1,"The Alchemist, Paolo Bacigalupi",it was amazing,43
1,"Cloud Atlas, David Mitchell",really liked it,43
1,"A Brief History of Time, Stephen Hawking",really liked it,43
1,"Seveneves, Neal Stephenson",it was amazing,43
1,"The Courtship of Princess Leia, Dave Wolverton",liked it,43
1,"The Da Vinci Code, Dan Brown",really liked it,43
1,"The Sixth Extinction: An Unnatural History, Elizabeth Kolbert",liked it,43
2,"The Time Traveler's Wife, Audrey Niffenegger",it was amazing,3
2,"Fight Club, Chuck Palahniuk",it was amazing,3
2,"A Clockwork Orange, Anthony Burgess",it was amazing,3
3,"The Martian, Andy Weir",it was amazing,2
3,"The Little Prince, Antoine de Saint-Exupéry",it was amazing,2
5,"The Alchemist, Paolo Bacigalupi",it was amazing,18
5,"The Martian Chronicles, Ray Bradbury",it was amazing,18
5,"Things Fall Apart, Harry Turtledove",liked it,18
5,"Cloud Atlas, David Mitchell",it was amazing,18
5,"The Mists of Avalon, Marion Zimmer Bradley",really liked it,18
5,"Flowers for Algernon, Daniel Keyes",really liked it,18
5,"Firestarter, Tara Sim",liked it,18
5,"Firestarter, Tara Sim",liked it,18
5,"The Time Traveler's Wife, Audrey Niffenegger",liked it,18
5,"Gulliver's Travels, Jonathan Swift",it was amazing,18
5,"The Little Prince, Antoine de Saint-Exupéry",it was amazing,18
5,"Freedom, Jay Kirkpatrick",liked it,18
5,"Freedom, Jay Kirkpatrick",liked it,18
5,"The Prince, Kiera Cass",really liked it,18
5,"The Prince, Kiera Cass",really liked it,18
5,"The Handmaid's Tale, Margaret Atwood",it was amazing,18
5,"The Phantom Tollbooth, Norton Juster",really liked it,18
5,"A Connecticut Yankee in King Arthur's Court, Mark Twain",it was amazing,18
8,"The Road, Cormac McCarthy",liked it,10
8,"Atlas Shrugged, Ayn Rand",liked it,10
8,"Reamde, Neal Stephenson",liked it,10
8,"The Little Prince, Antoine de Saint-Exupéry",it was amazing,10
8,"The Martian, Andy Weir",it was amazing,10
8,"Fahrenheit 451, Ray Bradbury",liked it,10
8,"Flowers for Algernon, Daniel Keyes",liked it,10
8,"The Alchemist, Paolo Bacigalupi",it was amazing,10
8,"Station Eleven, Emily St. John Mandel",it was amazing,10
9,"1984, George Orwell",it was amazing,8
9,"Animal Farm, George Orwell",it was amazing,8
9,"The Hobbit, or There and Back Again, J.R.R. Tolkien",liked it,8
9,"Super Sad True Love Story, Gary Shteyngart",it was amazing,8
9,"Ready Player One, Ernest Cline",really liked it,8
9,"Brave New World, Aldous Huxley",it was amazing,8
9,"Snow Crash, Neal Stephenson",it was amazing,8
12,"Animal Farm, George Orwell",really liked it,4
12,"Cobra, Timothy Zahn",it was amazing,4
12,"Brave New World, Aldous Huxley",really liked it,4
12,"Slaughterhouse-Five, Kurt Vonnegut Jr.",liked it,4
14,"The Alchemist, Paolo Bacigalupi",really liked it,11
14,"It, Stephen King",it was amazing,11
14,"Catch-22, Joseph Heller",it was amazing,11
14,"The Phantom Tollbooth, Norton Juster",really liked it,11
14,"The Time Machine, H.G. Wells",it was amazing,11
14,"Watership Down, Richard  Adams",it was amazing,11
14,"Fahrenheit 451, Ray Bradbury",really liked it,11
14,"The Invisible Man, H.G. Wells",liked it,11
14,"Blindness, José Saramago",really liked it,11
14,"The War of the Worlds, H.G. Wells",really liked it,11
15,"The Road, Cormac McCarthy",liked it,7
15,"Animal Farm, George Orwell",really liked it,7
15,"Slaughterhouse-Five, Kurt Vonnegut Jr.",really liked it,7
15,"Brave New World, Aldous Huxley",really liked it,7
15,"1984, George Orwell",it was amazing,7
15,"The World Without Us, Alan Weisman",really liked it,7
15,"Catch-22, Joseph Heller",it was amazing,7
18,"Sphere, Michael Crichton",it was amazing,13
18,"Neuromancer, William Gibson",it was amazing,13
18,"Next, Michael Crichton",liked it,13
18,"Prey, Michael Crichton",liked it,13
